# VG Wort URL lock - PROVISIONAL. Derived from the built site, not from a
# T.O.M. export: it records where a mark RENDERS, never where it EARNS.
# No registered_url column by design - see ADR-0020. Gate A3 reads this in
# neutrality mode (does a change move a locked URL). Replaced by
# url-lock.csv at programme SS15, after which A3 checks correctness.
url,code,first_seen,content_sha
/kurs_b2/units/unit07_gesundheitspolitik/,22dce76b69354c98bc3dbeb0567aec88,2026-08-21,9e8bff3932894a54
/kurs_b2/units/unit08_umweltpolitik/,22eaea54ea0349c0a01b5c64d1d68cc2,2026-08-21,2d330ade435556f1
/kurs_b2/units/unit09_bildungsdebatten/,2316bc373211416385bfb4935e4d3dcd,2026-08-21,8431aced8fcd4f6e
/kurs_b2/units/unit10_ethik-digitaler-technologien/,23388de3dfce4559b4fb96b2107b1675,2026-08-21,c420c3c1cde9b479
/kurs_b2/units/unit11_oekonomie-fuer-laien/,23510dcb2dc7440cb9517b428ecdf576,2026-08-21,e6e6b0ca96aca788
/kurs_b2/units/unit12_literarische-perspektiven/,2353e3811f254fcb96f8dcf3f10e4da8,2026-08-21,3156ebb445144e5e
/kurs_c1/units/unit01_literarisches-argumentieren/,2395ea61453c4d38adc510839bb4e172,2026-08-21,0c582e6cfbbfaf8f
/kurs_c1/units/unit02_politische-diskursanalyse/,23ab9139c9ef48d48d6d1fa7757f69fe,2026-08-21,dc60df306cc7bcf2
/kurs_c1/units/unit03_wissenschaftstheorie/,23adab1dcb5d43509c90a1b1c2d8777a,2026-08-21,9bbe4268c3378504
/kurs_c1/units/unit04_aesthetik-und-urteil/,23bee363cf904a74a19c1ff4b9a6f726,2026-08-21,c53600bb262605b3
/kurs_c1/units/unit05_identitaet-und-sprache/,23e1497a07f140228aba8d7acb87e848,2026-08-21,058117ab11e7da3c
/kurs_c1/units/unit06_postkoloniale-perspektiven/,23fdeea5178b4b92b5cc4367af497355,2026-08-21,6da3e6dafcb4cf8f
/kurs_c1/units/unit07_historiografie/,2439973042114c5db4ace64b8c7295aa,2026-08-21,254d3a98108f79d1
/kurs_c1/units/unit08_philosophie-fuer-informierte-laien/,245ce750c2084bb0aa688b60d97f154f,2026-08-21,1750e246b669e05e
/kurs_c1/units/unit09_fachsprachen-wirtschaft-medizin-recht/,2478220ae6c74565b038bae98b489925,2026-08-21,6608d86edcfbffa2
/kurs_c1/units/unit10_stilistik-und-rhetorik/,249bb9665e8c4139a9a431d9543f48cf,2026-08-21,807ca775390bda01
/kurs_c1/units/unit11_literarische-moderne/,249ffa7b99a7473082db480acfcdc721,2026-08-21,b18eb5fbf9c008bd
/kurs_c1/units/unit12_gegenwartsliteratur/,24c9c4f92ec5422daac1d645a674043f,2026-08-21,f2b2b9df10eff0ff
/literatur/,251b3ec77a794cf794058eb06b0e3c58,2026-08-21,46d509cdf8a99287
/start/,254c47061c6944e18e597a885fac1ce9,2026-08-21,4e4547ef135533ab
/ueber/,257f396599f54a09b54a4446e5992b72,2026-08-21,441bfdef010e4dc9
/uebersicht/,25b56b4eb63040e2acf876aa71cb4a9c,2026-08-21,7de90a2bcca283ad
